Date,Month,Day of Week
10/03/2021,October,Sunday
10/04/2021,October,Monday
10/05/2021,October,Tuesday
10/06/2021,October,Wednesday
10/07/2021,October,Thursday
10/08/2021,October,Friday
10/09/2021,October,Saturday
10/10/2021,October,Sunday
10/11/2021,October,Monday
10/12/2021,October,Tuesday
10/13/2021,October,Wednesday
10/14/2021,October,Thursday
10/15/2021,October,Friday
10/16/2021,October,Saturday
10/17/2021,October,Sunday
10/18/2021,October,Monday
10/19/2021,October,Tuesday
10/20/2021,October,Wednesday
10/21/2021,October,Thursday
10/22/2021,October,Friday
10/23/2021,October,Saturday
10/24/2021,October,Sunday
10/25/2021,October,Monday
10/26/2021,October,Tuesday
10/27/2021,October,Wednesday
10/28/2021,October,Thursday
10/29/2021,October,Friday
10/30/2021,October,Saturday
10/31/2021,October,Sunday
11/1/2021,October,Monday
11/02/2021,November,Tuesday
11/03/2021,November,Wednesday
11/04/2021,November,Thursday
11/05/2021,November,Friday
11/06/2021,November,Saturday
11/07/2021,November,Sunday
11/08/2021,November,Monday
11/09/2021,November,Tuesday
11/10/2021,November,Wednesday
11/11/2021,November,Thursday
11/12/2021,November,Friday
11/13/2021,November,Saturday
11/14/2021,November,Sunday
11/15/2021,November,Monday
11/16/2021,November,Tuesday
11/17/2021,November,Wednesday
11/18/2021,November,Thursday
11/19/2021,November,Friday
11/20/2021,November,Saturday
11/21/2021,November,Sunday
11/22/2021,November,Monday
11/23/2021,November,Tuesday
11/24/2021,November,Wednesday
11/25/2021,November,Thursday
11/26/2021,November,Friday
11/27/2021,November,Saturday
11/28/2021,November,Sunday
11/29/2021,November,Monday
11/30/2021,November,Tuesday
12/01/2021,December,Wednesday
12/02/2021,December,Thursday
12/03/2021,December,Friday
12/04/2021,December,Saturday
12/05/2021,December,Sunday
12/06/2021,December,Monday
12/07/2021,December,Tuesday
12/08/2021,December,Wednesday
12/09/2021,December,Thursday
12/10/2021,December,Friday
12/11/2021,December,Saturday
12/12/2021,December,Sunday
12/13/2021,December,Monday
12/14/2021,December,Tuesday
12/15/2021,December,Wednesday
12/16/2021,December,Thursday
12/17/2021,December,Friday
12/18/2021,December,Saturday
12/19/2021,December,Sunday
12/20/2021,December,Monday
12/21/2021,December,Tuesday
12/22/2021,December,Wednesday
12/23/2021,December,Thursday
12/24/2021,December,Friday
12/25/2021,December,Saturday
12/26/2021,December,Sunday
12/27/2021,December,Monday
12/28/2021,December,Tuesday
12/29/2021,December,Wednesday
12/30/2021,December,Thursday
12/31/2021,December,Friday
01/01/2022,January,Saturday
01/02/2022,January,Sunday
01/03/2022,January,Monday
01/04/2022,January,Tuesday
01/05/2022,January,Wednesday
01/06/2022,January,Thursday
01/07/2022,January,Friday
01/08/2022,January,Saturday
01/09/2022,January,Sunday
01/10/2022,January,Monday
01/11/2022,January,Tuesday
01/12/2022,January,Wednesday
01/13/2022,January,Thursday
01/14/2022,January,Friday
01/15/2022,January,Saturday
01/16/2022,January,Sunday
01/17/2022,January,Monday
01/18/2022,January,Tuesday
01/19/2022,January,Wednesday
01/20/2022,January,Thursday
01/21/2022,January,Friday
01/22/2022,January,Saturday
01/23/2022,January,Sunday
01/24/2022,January,Monday
01/25/2022,January,Tuesday
01/26/2022,January,Wednesday
01/27/2022,January,Thursday
01/28/2022,January,Friday
01/29/2022,January,Saturday
01/30/2022,January,Sunday
01/31/2022,January,Monday
02/01/2022,February,Tuesday
02/02/2022,February,Wednesday
02/03/2022,February,Thursday
02/04/2022,February,Friday
02/05/2022,February,Saturday
02/06/2022,February,Sunday
02/07/2022,February,Monday
02/08/2022,February,Tuesday
02/09/2022,February,Wednesday
02/10/2022,February,Thursday
02/11/2022,February,Friday
02/12/2022,February,Saturday
02/13/2022,February,Sunday
02/14/2022,February,Monday
02/15/2022,February,Tuesday
02/16/2022,February,Wednesday
02/17/2022,February,Thursday
02/18/2022,February,Friday
02/19/2022,February,Saturday
02/20/2022,February,Sunday
02/21/2022,February,Monday
02/22/2022,February,Tuesday
02/23/2022,February,Wednesday
02/24/2022,February,Thursday
02/25/2022,February,Friday
02/26/2022,February,Saturday
02/27/2022,February,Sunday
02/28/2022,February,Monday
03/01/2022,March,Tuesday
03/02/2022,March,Wednesday
03/03/2022,March,Thursday
03/04/2022,March,Friday
03/05/2022,March,Saturday
03/06/2022,March,Sunday
03/07/2022,March,Monday
03/08/2022,March,Tuesday
03/09/2022,March,Wednesday
03/10/2022,March,Thursday
03/11/2022,March,Friday
03/12/2022,March,Saturday
03/13/2022,March,Sunday
03/14/2022,March,Monday
03/15/2022,March,Tuesday
03/16/2022,March,Wednesday
03/17/2022,March,Thursday
03/18/2022,March,Friday
03/19/2022,March,Saturday
03/20/2022,March,Sunday
03/21/2022,March,Monday
03/22/2022,March,Tuesday
03/23/2022,March,Wednesday
03/24/2022,March,Thursday
03/25/2022,March,Friday
03/26/2022,March,Saturday
03/27/2022,March,Sunday
03/28/2022,March,Monday
03/29/2022,March,Tuesday
03/30/2022,March,Wednesday
03/31/2022,March,Thursday
04/01/2022,April,Friday
04/02/2022,April,Saturday
04/03/2022,April,Sunday
04/04/2022,April,Monday
04/05/2022,April,Tuesday
04/06/2022,April,Wednesday
04/07/2022,April,Thursday
04/08/2022,April,Friday
04/09/2022,April,Saturday
04/10/2022,April,Sunday
04/11/2022,April,Monday
04/12/2022,April,Tuesday
04/13/2022,April,Wednesday
04/14/2022,April,Thursday
