,Date,activityType,duration,totalEnergyBurned,HKAverageMETs,tavg,prcp,wdir,wspd,pres,Month,Day of Week,Workout,Warm or Cold
0,2021-10-03,TraditionalStrengthTraining,87.29414496620497,795.169,6.18283,58.0,0.0,11.0,2.9,1018.1,October,Sunday,Y,warm
1,2021-10-04,TraditionalStrengthTraining,96.58981629808744,1121.56,7.92698,59.6,0.0,12.0,1.2,1013.3,October,Monday,Y,warm
2,2021-10-06,TraditionalStrengthTraining,95.41074133316675,1084.28,7.86117,55.0,0.043,199.0,8.9,1016.9,October,Wednesday,Y,warm
3,2021-10-07,TraditionalStrengthTraining,63.90007996559143,564.692,5.63274,49.0,0.0,15.0,3.0,1019.4,October,Thursday,Y,warm
4,2021-10-08,TraditionalStrengthTraining,77.10493860046068,1115.62,10.0274,48.5,0.0,353.0,1.0,1015.8,October,Friday,Y,warm
5,2021-10-10,TraditionalStrengthTraining,92.66532013217608,594.181,3.71868,52.7,0.0,249.0,9.2,1014.5,October,Sunday,Y,warm
6,2021-10-11,TraditionalStrengthTraining,93.07243721485138,1299.53,9.49999,46.9,0.0,358.0,2.2,1019.3,October,Monday,Y,warm
7,2021-10-13,TraditionalStrengthTraining,46.26314168373744,613.018,9.17243,45.0,0.071,309.0,3.4,1015.8,October,Wednesday,Y,warm
8,2021-10-13,TraditionalStrengthTraining,98.48772774934768,738.626,4.65724,45.0,0.071,309.0,3.4,1015.8,October,Wednesday,Y,warm
9,2021-10-14,TraditionalStrengthTraining,80.56867868304252,676.539,5.38836,50.3,0.012,319.0,3.5,1021.8,October,Thursday,Y,warm
10,2021-10-15,TraditionalStrengthTraining,46.96765111684799,295.316,3.63876,51.1,0.0,156.0,3.5,1022.4,October,Friday,Y,warm
11,2021-10-18,TraditionalStrengthTraining,88.17647053201993,1069.46,8.3305,49.1,0.0,0.0,1.4,1009.6,October,Monday,Y,warm
12,2021-10-18,TraditionalStrengthTraining,106.99041880170505,1332.72,8.35156,49.1,0.0,0.0,1.4,1009.6,October,Monday,Y,warm
13,2021-10-19,TraditionalStrengthTraining,63.95681173404057,587.312,6.00198,49.6,0.0,14.0,2.1,1013.2,October,Tuesday,Y,warm
14,2021-10-20,TraditionalStrengthTraining,75.6099118510882,476.894,3.69327,52.0,0.091,44.0,5.3,1013.3,October,Wednesday,Y,warm
15,2021-10-22,TraditionalStrengthTraining,86.39969155192375,947.453,7.05094,52.3,0.252,204.0,5.7,1008.0,October,Friday,Y,warm
16,2021-10-22,TraditionalStrengthTraining,70.64542761643727,698.636,6.51486,52.3,0.252,204.0,5.7,1008.0,October,Friday,Y,warm
17,2021-10-26,TraditionalStrengthTraining,68.8905422170957,753.041,6.9945,49.1,0.083,212.0,10.7,1008.8,October,Tuesday,Y,warm
18,2021-10-26,TraditionalStrengthTraining,69.94354708393415,668.65,6.37435,49.1,0.083,212.0,10.7,1008.8,October,Tuesday,Y,warm
19,2021-10-29,TraditionalStrengthTraining,34.809806650877,215.982,3.26083,52.2,0.528,258.0,7.1,1013.3,October,Friday,Y,warm
20,2021-11-02,TraditionalStrengthTraining,71.09599528312683,922.042,8.78429,49.1,0.0,352.0,1.9,1024.9,November,Tuesday,Y,warm
21,2021-11-05,TraditionalStrengthTraining,74.72150530020396,928.412,8.65581,46.0,0.039,229.0,5.5,1015.2,November,Friday,Y,warm
22,2021-11-05,TraditionalStrengthTraining,119.7540583829085,1212.62,6.70152,46.0,0.039,229.0,5.5,1015.2,November,Friday,Y,warm
23,2021-11-08,TraditionalStrengthTraining,91.84036978284517,954.36,6.70107,45.9,0.0,52.0,4.1,1019.9,November,Monday,Y,warm
24,2021-11-09,TraditionalStrengthTraining,74.91358035008112,727.198,6.48508,42.1,0.15,124.0,7.5,1012.0,November,Tuesday,Y,warm
