type,sourceName,sourceVersion,productType,device,Date,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKAverageMETs,HKIndoorWorkout,HKWeatherHumidity,HKWeatherTemperature,HKTimeZone
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-10-03 22:17:51 +0000,2021-10-03 23:45:09 +0000,TraditionalStrengthTraining,5237.648697972298,sec,795.169 kcal,,,,6.18283 kcal/hr·kg,0,2900 %,73.4 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-10-04 22:47:40 +0000,2021-10-05 00:24:16 +0000,TraditionalStrengthTraining,5795.388977885246,sec,1121.56 kcal,,,,7.92698 kcal/hr·kg,0,3700 %,71.6 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-10-06 22:42:21 +0000,2021-10-07 00:17:46 +0000,TraditionalStrengthTraining,5724.6444799900055,sec,1084.28 kcal,,,,7.86117 kcal/hr·kg,0,4100 %,57.2 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-10-07 18:37:41 +0000,2021-10-07 19:41:35 +0000,TraditionalStrengthTraining,3834.004797935486,sec,564.692 kcal,,,,5.63274 kcal/hr·kg,0,5200 %,53.6 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-10-08 21:20:25 +0000,2021-10-08 22:37:32 +0000,TraditionalStrengthTraining,4626.296316027641,sec,1115.62 kcal,,,,10.0274 kcal/hr·kg,0,4200 %,57.2 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-10-10 22:00:20 +0000,2021-10-10 23:33:00 +0000,TraditionalStrengthTraining,5559.919207930565,sec,594.181 kcal,,,,3.71868 kcal/hr·kg,0,2000 %,60.8 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-10-11 22:37:06 +0000,2021-10-12 00:10:10 +0000,TraditionalStrengthTraining,5584.346232891083,sec,1299.53 kcal,,,,9.49999 kcal/hr·kg,0,2300 %,55.4 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-10-13 03:15:38 +0000,2021-10-13 04:01:54 +0000,TraditionalStrengthTraining,2775.788501024246,sec,613.018 kcal,,,,9.17243 kcal/hr·kg,0,4300 %,42.8 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-10-13 22:18:00 +0000,2021-10-13 23:56:30 +0000,TraditionalStrengthTraining,5909.263664960861,sec,738.626 kcal,,,,4.65724 kcal/hr·kg,0,8300 %,42.8 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-10-14 18:13:09 +0000,2021-10-14 19:33:43 +0000,TraditionalStrengthTraining,4834.120720982552,sec,676.539 kcal,,,,5.38836 kcal/hr·kg,0,7400 %,42.8 degF,America/Los_Angeles
